Type,URL,Discovered From,Has Captcha,Link Strategy,Link Format,Has URL Field,root_domain,submitted,submit_time,rel_actual,live_url,notes
profile,https://www.mycomics.de/profil/tedcrane.html,ahrefs:sprunki-game.io,No,url_field,unknown,No,mycomics.de,no,,,,
profile,https://wallhaven.cc/user/lauralehman,ahrefs:sprunki-game.io,No,url_field,unknown,No,wallhaven.cc,no,,,,
profile,https://bordeaux.onvasortir.com/profil_msg_inexistant.php,ahrefs:sprunki-game.io,No,url_field,unknown,No,bordeaux.onvasortir.com,no,,,,
profile,https://www.stampstampede.org/society-stampers/groups/sprunki-game-1453889805/members/,ahrefs:sprunki-game.io,No,url_field,unknown,No,stampstampede.org,no,,,,
profile,https://bugs.documentfoundation.org/show_bug.cgi?id=162681,ahrefs:sprunki-game.io,No,url_field,unknown,No,bugs.documentfoundation.org,no,,,,
profile,https://blogs.eltiempo.com/el-tiempo-del-cine/2025/02/10/oscar-2025-analisis-de-cada-categoria-parte-i/,ahrefs:sprunki-game.io,No,url_field,unknown,No,blogs.eltiempo.com,no,,,,
profile,https://chhs.news.niu.edu/2025/01/15/niu-school-of-nursing-adds-hispanic-student-nurses-alianza-hsna-to-support-students/,ahrefs:sprunki-game.io,No,url_field,unknown,No,chhs.news.niu.edu,no,,,,
profile,https://jobs.hyperisland.com/company/georgiana-al-usa,ahrefs:sprunki-game.io,No,url_field,unknown,No,jobs.hyperisland.com,no,,,,
profile,https://athomeinthefuture.com/2022/03/design-decorate-perfect-backyard/,ahrefs:cookieclickercity.com,No,url_field,unknown,No,athomeinthefuture.com,no,,,,
profile,https://snipplr.com/users/mcleanross?language=all,ahrefs:cookieclickercity.com,No,url_field,unknown,No,snipplr.com,no,,,,
profile,https://ru.esosedi.org/RU/BA/8564043/ust_saldyibash/,ahrefs:cookieclickercity.com,No,url_field,unknown,No,ru.esosedi.org,no,,,,
profile,https://runpee.com/10-best-math-movies-for-middle-school-students/,ahrefs:cookieclickercity.com,No,url_field,unknown,No,runpee.com,no,,,,
profile,https://pt-media.org/2022/11/02/kuvitteellinen-hakaristi-pahoitti-mielen/,ahrefs:cookieclickercity.com,No,url_field,unknown,No,pt-media.org,no,,,,
profile,https://www.gizlogic.com/android-auto-8-4-lanzamiento/,ahrefs:cookieclickercity.com,No,url_field,unknown,No,gizlogic.com,no,,,,
profile,https://www.g2.com/discussions/what-is-ultipro-system,ahrefs:cookieclickercity.com,No,url_field,unknown,No,g2.com,no,,,,
profile,https://www.steffisrecipes.com/2020/04/idli-kurma.html,ahrefs:basketballrandom.com,No,url_field,unknown,No,steffisrecipes.com,no,,,,
profile,https://www.selfloverainbow.com/self-improvement-7-reasons-why-we-struggle,ahrefs:basketballrandom.com,No,url_field,unknown,No,selfloverainbow.com,no,,,,
blog_comment,https://joaniesimon.com/grilled-lemon-garlic-potato-kabobs/grilled-potato-kabobs-with-lemon-and-garlic/,ahrefs:leveldevilgame.com,No,url_field,html,Yes,joaniesimon.com,no,,,,
